Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,1,0.1037,0.5228702333333334,0.046491796,0,0,0.953508204
FedAvg,TRUE,20,0,2,0.1159,0.5634153833333333,0.05962249,0,0,0.94037751
FedAvg,TRUE,20,0,3,0.1232,0.60048125,0.067665522,0.001333333,0.000266312,0.932334478
FedAvg,TRUE,20,0,4,0.1404,0.6276605944444444,0.1199442978457271,0.044555556,0.008531007,0.880055702
FedAvg,TRUE,20,0,5,0.1434,0.6401122666666667,0.10905797109270836,0.003666667,0.000730654,0.890942029
FedAvg,TRUE,20,0,6,0.1651,0.6510458388888889,0.1487673532535601,0.027777777777777776,0.005405405,0.851232647
FedAvg,TRUE,20,0,7,0.1886,0.6597758055555556,0.16213196162474733,0.011555555555555555,0.00228471,0.837868038
FedAvg,TRUE,20,0,8,0.2063,0.6660502388888888,0.1774934618343227,0.031111111,0.006034483,0.822506538
FedAvg,TRUE,20,0,9,0.2087,0.6689114444444444,0.17719177683524193,0.003777778,0.000752712,0.822808223
FedAvg,TRUE,20,0,10,0.2153,0.66975495,0.19379224500771983,0.001888889,0.000377066,0.806207755
FedAvg,TRUE,20,0,11,0.2,0.6728134555555556,0.17290967800598867,0.003,0.000598205,0.827090322
FedAvg,TRUE,20,0,12,0.2182,0.6767068555555555,0.20208924778701554,0.022222222222222223,0.004347826,0.797910752
FedAvg,TRUE,20,0,13,0.2317,0.67916485,0.1989610000677442,0.10877777777777778,0.019621204529511976,0.801039
FedAvg,TRUE,20,0,14,0.2397,0.6793292055555555,0.2205871744737376,0.084444444,0.01557377,0.779412826
FedAvg,TRUE,20,0,15,0.2242,0.6772756777777778,0.20514078836817617,0.007888889,0.001565428,0.794859212
FedAvg,TRUE,20,0,16,0.2225,0.6819265166666668,0.1990188577558913,0.018444444444444444,0.003622082,0.800981142
FedAvg,TRUE,20,0,17,0.2267,0.68164375,0.1898488091338037,0.096555556,0.0176107,0.810151191
FedAvg,TRUE,20,0,18,0.2354,0.6809857833333333,0.20482039003605057,0.036111111,0.006970509,0.79517961
FedAvg,TRUE,20,0,19,0.2201,0.6833633777777777,0.19249185517255846,0.017111111,0.003364649,0.807508145
