Algorithm,IID,Epsilon,Poison_Rate,Round,Benign_Accuracy,Benign_roc,f1,ASR,ASR_f1,FNR
FedAvg,TRUE,20,0,1,0.3473,0.8192841022729442,0.2734325985127095,0.13991130820399114,0.030684691694222915,0.726567401
FedAvg,TRUE,20,0,2,0.4583,0.8930201528298405,0.3640788926608035,0.13880266075388026,0.027085496711664936,0.635921107
FedAvg,TRUE,20,0,3,0.5456,0.9151731613633185,0.4874420029019479,0.075055432,0.015514534850411925,0.512557997
FedAvg,TRUE,20,0,4,0.5762,0.9299429114188278,0.5013828938687265,0.056430155,0.011870197,0.498617106
FedAvg,TRUE,20,0,5,0.5949,0.9386399580754503,0.5266021067377101,0.070842572,0.013231183352313904,0.473397893
FedAvg,TRUE,20,0,6,0.5958,0.9453270976350222,0.5320828400287126,0.087804878,0.016143497757847534,0.46791716
FedAvg,TRUE,20,0,7,0.5783,0.9509289805145243,0.5127350298921598,0.095454545,0.017427385892116183,0.48726497
FedAvg,TRUE,20,0,8,0.6218,0.9553097303681147,0.5694239042096629,0.076385809,0.014193016788546708,0.430576096
FedAvg,TRUE,20,0,9,0.6356,0.9579891298523016,0.590250137,0.068403548,0.012804814776382692,0.409749863
FedAvg,TRUE,20,0,10,0.6506,0.9597216505068868,0.6099096573953673,0.066297118,0.012435017675192348,0.390090343
FedAvg,TRUE,20,0,11,0.6528,0.9605985278061544,0.6108114588200454,0.064301552,0.012083333333333333,0.389188541
FedAvg,TRUE,20,0,12,0.6762,0.9623860542815551,0.6416105464562906,0.056651884700665185,0.010722904207323471,0.358389454
FedAvg,TRUE,20,0,13,0.6952,0.9642720693407629,0.6656109921952942,0.05654102,0.010703043022035678,0.334389008
FedAvg,TRUE,20,0,14,0.7025,0.9658651843069792,0.6689567029487886,0.043348115,0.008309425,0.331043297
FedAvg,TRUE,20,0,15,0.72,0.9675349639145159,0.6924076483806013,0.039467849223946784,0.007593857,0.307592352
FedAvg,TRUE,20,0,16,0.7393,0.9690230271472261,0.7167031742435399,0.034811529933481154,0.006728091,0.283296826
FedAvg,TRUE,20,0,17,0.7463,0.9702167663535917,0.7255491149018068,0.029379157427937917,0.005708131,0.274450885
FedAvg,TRUE,20,0,18,0.7577,0.9714573411353997,0.7403579808541357,0.025055432372505543,0.0048886,0.259642019
FedAvg,TRUE,20,0,19,0.7591,0.972228247,0.7420248490945175,0.025055432372505543,0.0048886,0.257975151
FedAvg,TRUE,20,0,20,0.7633,0.9730606544798786,0.7466784825577919,0.023059866962305987,0.004508019,0.253321517
FedAvg,TRUE,20,0,21,0.7763,0.974178575,0.7634594050939374,0.020620842572062086,0.004040843,0.236540595
FedAvg,TRUE,20,0,22,0.777,0.9745969268187717,0.7643665576378605,0.021064302,0.00412595,0.235633442
FedAvg,TRUE,20,0,23,0.783,0.9753631848075857,0.7715087408821061,0.018625277,0.003656944,0.228491259
FedAvg,TRUE,20,0,24,0.7898,0.9761601380500364,0.7795718378733034,0.018403547671840353,0.003614196,0.220428162
FedAvg,TRUE,20,0,25,0.7938,0.9767661573697527,0.783906371,0.017960089,0.003528643,0.216093629
FedAvg,TRUE,20,0,26,0.7983,0.9772190598892385,0.7892226133827853,0.017627494,0.00346443,0.210777387
FedAvg,TRUE,20,0,27,0.8065,0.977960794,0.7985431913436113,0.017738359201773836,0.003485839,0.201456809
FedAvg,TRUE,20,0,28,0.8059,0.9784600695526986,0.7978473635665937,0.016740576496674056,0.003292989,0.202152636
FedAvg,TRUE,20,0,29,0.8105,0.9790593212419738,0.8030110913466396,0.016297118,0.003207156,0.196988909
FedAvg,TRUE,20,0,30,0.8168,0.9798349015635835,0.8104134502157967,0.016186252771618625,0.003185686,0.18958655
